                   1    |     2      |  3         |  4         |     6      |     7      |      8     |     9
OX00O00XOw | OX00O00XOw | OX00O00XOw | OX00O00XOw | OX00O00XOw | OX00O00XOw | OX00O00XOw | OX00O00XOw | OX00O00XOw
O0XXO000Ow | O0XXO000Ow | O0XXO000Ow | O0XXO000Ow | O0XXO000Ow | O0XXO000Ow | O0XXO000Ow | O0XXO000Ow | O0XXO000Ow
O0X0OX00Ow | O0X0OX00Ow | O0X0OX00Ow | O0X0OX00Ow | O0X0OX00Ow | O0X0OX00Ow | O0X0OX00Ow | O0X0OX00Ow | O0X0OX00Ow
O0X0O0X0Ow | O0X0O0X0Ow | O0X0O0X0Ow | O0X0O0X0Ow | O0X0O0X0Ow | O0X0O0X0Ow | O0X0O0X0Ow | O0X0O0X0Ow | O0X0O0X0Ow
O0X0O00XOw | O0X0O00XOw | O0X0O00XOw | O0X0O00XOw | O0X0O00XOw | O0X0O00XOw | O0X0O00XOw | O0X0O00XOw | O0X0O00XOw
O00XOX00Ow | O00XOX00Ow | O00XOX00Ow | O00XOX00Ow | O00XOX00Ow | O00XOX00Ow | O00XOX00Ow | O00XOX00Ow | O00XOX00Ow
O00XO0X0Ow | O00XO0X0Ow | O00XO0X0Ow | O00XO0X0Ow | O00XO0X0Ow | O00XO0X0Ow | O00XO0X0Ow | O00XO0X0Ow | O00XO0X0Ow
O00XO00XOw | O00XO00XOw | O00XO00XOw | O00XO00XOw | O00XO00XOw | O00XO00XOw | O00XO00XOw | O00XO00XOw | O00XO00XOw
O000OXX0Ow | O000OXX0Ow | O000OXX0Ow | O000OXX0Ow | O000OXX0Ow | O000OXX0Ow | O000OXX0Ow | O000OXX0Ow | O000OXX0Ow
O000OX0XOw | O000OX0XOw | O000OX0XOw | O000OX0XOw | O000OX0XOw | O000OX0XOw | O000OX0XOw | O000OX0XOw | O000OX0XOw
O000O0XXOw | O000O0XXOw | O000O0XXOw | O000O0XXOw | O000O0XXOw | O000O0XXOw | O000O0XXOw | O000O0XXOw | O000O0XXOw
0XO0O00XO- | XXO0OO0XOw | 0XO0O00XO- | 0XO0O00XO- | 0XOXOO0XOw | 0XO0OXOXOw | 0XO0OOXXOw | 0XO0O00XO- | 0XO0O00XO-
X0O0O0O0Xw | X0O0O0O0Xw | X0O0O0O0Xw | X0O0O0O0Xw | X0O0O0O0Xw | X0O0O0O0Xw | X0O0O0O0Xw | X0O0O0O0Xw | X0O0O0O0Xw
0XO0O0O0Xw | 0XO0O0O0Xw | 0XO0O0O0Xw | 0XO0O0O0Xw | 0XO0O0O0Xw | 0XO0O0O0Xw | 0XO0O0O0Xw | 0XO0O0O0Xw | 0XO0O0O0Xw
00X0OOO0X- | X0XOOOO0Xw | 0XXOOOO0Xw | 00X0OOO0X- | 0OXXOOO0X- | 00X0OOO0X- | 00X0OOO0X- | 00XOOOOXXw | 00X0OOO0X-
00OXO0O0Xw | 00OXO0O0Xw | 00OXO0O0Xw | 00OXO0O0Xw | 00OXO0O0Xw | 00OXO0O0Xw | 00OXO0O0Xw | 00OXO0O0Xw | 00OXO0O0Xw
00O0OXO0Xw | 00O0OXO0Xw | 00O0OXO0Xw | 00O0OXO0Xw | 00O0OXO0Xw | 00O0OXO0Xw | 00O0OXO0Xw | 00O0OXO0Xw | 00O0OXO0Xw
00O0O0OXXw | 00O0O0OXXw | 00O0O0OXXw | 00O0O0OXXw | 00O0O0OXXw | 00O0O0OXXw | 00O0O0OXXw | 00O0O0OXXw | 00O0O0OXXw
XXOXOO00Ow | XXOXOO00Ow | XXOXOO00Ow | XXOXOO00Ow | XXOXOO00Ow | XXOXOO00Ow | XXOXOO00Ow | XXOXOO00Ow | XXOXOO00Ow
XXO0OXO0Ow | XXO0OXO0Ow | XXO0OXO0Ow | XXO0OXO0Ow | XXO0OXO0Ow | XXO0OXO0Ow | XXO0OXO0Ow | XXO0OXO0Ow | XXO0OXO0Ow
XXO0OOX0Ow | XXO0OOX0Ow | XXO0OOX0Ow | XXO0OOX0Ow | XXO0OOX0Ow | XXO0OOX0Ow | XXO0OOX0Ow | XXO0OOX0Ow | XXO0OOX0Ow
XXO0OO0XOw | XXO0OO0XOw | XXO0OO0XOw | XXO0OO0XOw | XXO0OO0XOw | XXO0OO0XOw | XXO0OO0XOw | XXO0OO0XOw | XXO0OO0XOw
XOXXO00OOw | XOXXO00OOw | XOXXO00OOw | XOXXO00OOw | XOXXO00OOw | XOXXO00OOw | XOXXO00OOw | XOXXO00OOw | XOXXO00OOw
XOX0OX0OOw | XOX0OX0OOw | XOX0OX0OOw | XOX0OX0OOw | XOX0OX0OOw | XOX0OX0OOw | XOX0OX0OOw | XOX0OX0OOw | XOX0OX0OOw
XOX0O0XOOw | XOX0O0XOOw | XOX0O0XOOw | XOX0O0XOOw | XOX0O0XOOw | XOX0O0XOOw | XOX0O0XOOw | XOX0O0XOOw | XOX0O0XOOw
XOXOO00XO- | XOXOO00XO- | XOXOO00XO- | XOXOO00XO- | XOXOO00XO- | XOXOOXOXOd | XOXOOOXXOw | XOXOO00XO- | XOXOO00XO-
XX0XO0OOOw | XX0XO0OOOw | XX0XO0OOOw | XX0XO0OOOw | XX0XO0OOOw | XX0XO0OOOw | XX0XO0OOOw | XX0XO0OOOw | XX0XO0OOOw
X0XXO0OOOw | X0XXO0OOOw | X0XXO0OOOw | X0XXO0OOOw | X0XXO0OOOw | X0XXO0OOOw | X0XXO0OOOw | X0XXO0OOOw | X0XXO0OOOw
X00XOXOOOw | X00XOXOOOw | X00XOXOOOw | X00XOXOOOw | X00XOXOOOw | X00XOXOOOw | X00XOXOOOw | X00XOXOOOw | X00XOXOOOw
X0OXO0OXOw | X0OXO0OXOw | X0OXO0OXOw | X0OXO0OXOw | X0OXO0OXOw | X0OXO0OXOw | X0OXO0OXOw | X0OXO0OXOw | X0OXO0OXOw
XX00OXOOOw | XX00OXOOOw | XX00OXOOOw | XX00OXOOOw | XX00OXOOOw | XX00OXOOOw | XX00OXOOOw | XX00OXOOOw | XX00OXOOOw
X0X0OXOOOw | X0X0OXOOOw | X0X0OXOOOw | X0X0OXOOOw | X0X0OXOOOw | X0X0OXOOOw | X0X0OXOOOw | X0X0OXOOOw | X0X0OXOOOw
X0O0OXOXOw | X0O0OXOXOw | X0O0OXOXOw | X0O0OXOXOw | X0O0OXOXOw | X0O0OXOXOw | X0O0OXOXOw | X0O0OXOXOw | X0O0OXOXOw
XX0OOOX0Ow | XX0OOOX0Ow | XX0OOOX0Ow | XX0OOOX0Ow | XX0OOOX0Ow | XX0OOOX0Ow | XX0OOOX0Ow | XX0OOOX0Ow | XX0OOOX0Ow
X0XOOOX0Ow | X0XOOOX0Ow | X0XOOOX0Ow | X0XOOOX0Ow | X0XOOOX0Ow | X0XOOOX0Ow | X0XOOOX0Ow | X0XOOOX0Ow | X0XOOOX0Ow
XO0OOXX0O- | XO0OOXX0O- | XO0OOXX0O- | XOXOOXXOOw | XO0OOXX0O- | XO0OOXX0O- | XO0OOXX0O- | XOOOOXXXOd | XO0OOXX0O-
X00OOOXXOw | X00OOOXXOw | X00OOOXXOw | X00OOOXXOw | X00OOOXXOw | X00OOOXXOw | X00OOOXXOw | X00OOOXXOw | X00OOOXXOw
X0OXOO0XOw | X0OXOO0XOw | X0OXOO0XOw | X0OXOO0XOw | X0OXOO0XOw | X0OXOO0XOw | X0OXOO0XOw | X0OXOO0XOw | X0OXOO0XOw
X0O0OOXXOw | X0O0OOXXOw | X0O0OOXXOw | X0O0OOXXOw | X0O0OOXXOw | X0O0OOXXOw | X0O0OOXXOw | X0O0OOXXOw | X0O0OOXXOw
0XOXOO0XOw | 0XOXOO0XOw | 0XOXOO0XOw | 0XOXOO0XOw | 0XOXOO0XOw | 0XOXOO0XOw | 0XOXOO0XOw | 0XOXOO0XOw | 0XOXOO0XOw
0XO0OXOXOw | 0XO0OXOXOw | 0XO0OXOXOw | 0XO0OXOXOw | 0XO0OXOXOw | 0XO0OXOXOw | 0XO0OXOXOw | 0XO0OXOXOw | 0XO0OXOXOw
0XO0OOXXOw | 0XO0OOXXOw | 0XO0OOXXOw | 0XO0OOXXOw | 0XO0OOXXOw | 0XO0OOXXOw | 0XO0OOXXOw | 0XO0OOXXOw | 0XO0OOXXOw
X0XOOOO0Xw | X0XOOOO0Xw | X0XOOOO0Xw | X0XOOOO0Xw | X0XOOOO0Xw | X0XOOOO0Xw | X0XOOOO0Xw | X0XOOOO0Xw | X0XOOOO0Xw
0XXOOOO0Xw | 0XXOOOO0Xw | 0XXOOOO0Xw | 0XXOOOO0Xw | 0XXOOOO0Xw | 0XXOOOO0Xw | 0XXOOOO0Xw | 0XXOOOO0Xw | 0XXOOOO0Xw
0OXXOOO0X- | XOXXOOOOXw | 0OXXOOO0X- | 0OXXOOO0X- | 0OXXOOO0X- | 0OXXOOO0X- | 0OXXOOO0X- | OOXXOOOXXd | 0OXXOOO0X-
00XOOOOXXw | 00XOOOOXXw | 00XOOOOXXw | 00XOOOOXXw | 00XOOOOXXw | 00XOOOOXXw | 00XOOOOXXw | 00XOOOOXXw | 00XOOOOXXw
XOXOOXOXOd | XOXOOXOXOd | XOXOOXOXOd | XOXOOXOXOd | XOXOOXOXOd | XOXOOXOXOd | XOXOOXOXOd | XOXOOXOXOd | XOXOOXOXOd
XOXOOOXXOw | XOXOOOXXOw | XOXOOOXXOw | XOXOOOXXOw | XOXOOOXXOw | XOXOOOXXOw | XOXOOOXXOw | XOXOOOXXOw | XOXOOOXXOw
XOXOOXXOOw | XOXOOXXOOw | XOXOOXXOOw | XOXOOXXOOw | XOXOOXXOOw | XOXOOXXOOw | XOXOOXXOOw | XOXOOXXOOw | XOXOOXXOOw
XOOOOXXXOd | XOOOOXXXOd | XOOOOXXXOd | XOOOOXXXOd | XOOOOXXXOd | XOOOOXXXOd | XOOOOXXXOd | XOOOOXXXOd | XOOOOXXXOd
XOXXOOOOXw | XOXXOOOOXw | XOXXOOOOXw | XOXXOOOOXw | XOXXOOOOXw | XOXXOOOOXw | XOXXOOOOXw | XOXXOOOOXw | XOXXOOOOXw
OOXXOOOXXd | OOXXOOOXXd | OOXXOOOXXd | OOXXOOOXXd | OOXXOOOXXd | OOXXOOOXXd | OOXXOOOXXd | OOXXOOOXXd | OOXXOOOXXd
