                   1    |     2      |  3         |  4         |     6      |     7      |      8     |     9
OOOXXOXX0w | OOOXXOXX0w | OOOXXOXX0w | OOOXXOXX0w | OOOXXOXX0w | OOOXXOXX0w | OOOXXOXX0w | OOOXXOXX0w | OOOXXOXX0w
OOOXXO0XXw | OOOXXO0XXw | OOOXXO0XXw | OOOXXO0XXw | OOOXXO0XXw | OOOXXO0XXw | OOOXXO0XXw | OOOXXO0XXw | OOOXXO0XXw
OOOOXXXX0w | OOOOXXXX0w | OOOOXXXX0w | OOOOXXXX0w | OOOOXXXX0w | OOOOXXXX0w | OOOOXXXX0w | OOOOXXXX0w | OOOOXXXX0w
OOOOXXX0Xw | OOOOXXX0Xw | OOOOXXX0Xw | OOOOXXX0Xw | OOOOXXX0Xw | OOOOXXX0Xw | OOOOXXX0Xw | OOOOXXX0Xw | OOOOXXX0Xw
OOXOXXOX0w | OOXOXXOX0w | OOXOXXOX0w | OOXOXXOX0w | OOXOXXOX0w | OOXOXXOX0w | OOXOXXOX0w | OOXOXXOX0w | OOXOXXOX0w
OOXOX0OXXw | OOXOX0OXXw | OOXOX0OXXw | OOXOX0OXXw | OOXOX0OXXw | OOXOX0OXXw | OOXOX0OXXw | OOXOX0OXXw | OOXOX0OXXw
OXOOXX0OX- | OXOOXX0OX- | OXOOXX0OX- | OXOOXX0OX- | OXOOXX0OX- | OXOOXX0OX- | OXOOXXXOXd | OXOOXX0OX- | OXOOXX0OX-
OXXXXOOOXd | OXXXXOOOXd | OXXXXOOOXd | OXXXXOOOXd | OXXXXOOOXd | OXXXXOOOXd | OXXXXOOOXd | OXXXXOOOXd | OXXXXOOOXd
OXOXXOXOXd | OXOXXOXOXd | OXOXXOXOXd | OXOXXOXOXd | OXOXXOXOXd | OXOXXOXOXd | OXOXXOXOXd | OXOXXOXOXd | OXOXXOXOXd
OXOOXXXOXd | OXOOXXXOXd | OXOOXXXOXd | OXOOXXXOXd | OXOOXXXOXd | OXOOXXXOXd | OXOOXXXOXd | OXOOXXXOXd | OXOOXXXOXd
OOXXXOOXXd | OOXXXOOXXd | OOXXXOOXXd | OOXXXOOXXd | OOXXXOOXXd | OOXXXOOXXd | OOXXXOOXXd | OOXXXOOXXd | OOXXXOOXXd
